producto_id,nombre,caso,comportamiento_propuesto
988,HARAGAN PLASTICOGRANDE S/CABO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-046
1083,HOJA SEGUETA 24,con_depto_sin_categoria (Linea Construccion),placeholder XX -> LCXX-001
1119,IN- CAUTÍN 60W C/DIFUSOR MEGAPRO,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-001
1122,IN- CAUTÍN ELÉCTRICO 60W (VITRON),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-002
1124,IN- CEPILLO ALAMBRE 3 HILERAS COVO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-047
1125,IN- CEPILLO ALAMBRE CURVO (MEGAPRO),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-048
1126,"IN- CEPILLO COPA ALAMBRE 4"" x5/8 (COVO)",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-049
1127,"IN- CEPILLO COPA ALAMBRE TREN 5"" (ROJO)",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-050
1128,"IN- CEPILLO COPA TRENZADO 5"" (UYUSTOOLS)",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-051
1129,IN- CEPILLO DE ALAMBRE (WOLGANF),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-052
1130,IN- CEPILLO DE ALAMBRE 6 HILERA AMARILLO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-053
1131,IN- CLAVADORA NEUMÁTICA 1030mm (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-003
1132,IN- CLAVADORA NEUMÁTICA D/HORMIGÓN(INGCO,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-004
1153,IN- DETECTOR DE VOLTAJE (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-005
1162,"IN- ESTOPA P/PULIR 7"" PULIDORA IN(INGCO)",con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-006
1166,"IN- EXTENSIÓN P/RACHE 1/2"" x 10"" (EXXEL)",con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-007
1168,IN- GANCHOS P/COLGAR NEGRO (EXXEL),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-008
1175,IN- GRAPAS INDUSTRIAL 10MM (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-009
1176,IN- GRAPAS INDUSTRIAL 12MM (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-010
1177,IN- GRAPAS INDUSTRIAL 8MM (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-011
1178,IN- GRAPAS P/ CLAVADORA 8mm (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-012
1179,IN- GRAPAS P/CLAVADORA 10mm (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-013
1180,IN- GRAPAS P/CLAVADORA 12mm (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-014
1181,IN- GRAPAS P/CLAVADORA 35mm (INGCO),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-015
1185,IN- JUEGO D LLAVES ALLEN 10 PIEZAS(EXXEL,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-016
1186,IN- JUEGO D LLAVES ALLEN 8 PZA PULG EXXE,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-017
1187,IN- JUEGO D RATCHE Y DADO 40PZA (EXXEL),con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-018
1188,IN- JUEGO D/BOQUILL GIRATORIA 5PZ 1/2,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-019
1189,IN- JUEGO DE CIERRA CIRCULAR 7PZAS,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-020
1191,IN- JUEGO DE PUNTA ESTRELLA 5PZA EXXEL,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-021
1196,IN- JUEGO LLAVES TORX BOLSILLT9-T40 (ING,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-022
1227,IN- PROBADOR MEDIDOR DIGITAL UYUSTOOL,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-023
1229,IN- PROBADOR VOLTAJE 600V DIGITAL TROEN,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-024
1244,"IN-VERNIER PLASTICO 6""",con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-025
1255,JUEGO ACOPLE BRONCE P/COMPRESOR,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-026
1256,"JUEGO AROS GOMA 2"" INODORO",con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-027
1257,JUEGO CONECTORES P/TELEF 6PZA ROCWER,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-028
1258,JUEGO HERRAMIENTAS 39 PZA BOSS MAN,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-029
1259,JUEGO MECJHAS 8PZA METAL TOTAL,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-030
1260,JUEGO PEINES P/SALPICADORA S/BASE,con_depto_sin_categoria (Herramientas Manuales),placeholder XX -> HMXX-031
1261,JUEGO/DUCHA 1.5M MANGUERA GRIVEN,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-007
1262,Junta Dresser 4 Pulgadas - Hierro fundid,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-054
1265,KIT CARGA PEQUEÑA SACO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-055
1267,KIT D/TUBOS TERMOCONTRAIBLES (TROEN),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-056
1273,LANZA DE FUMIGADORAS,con_depto_sin_categoria (linea agricola),placeholder XX -> LAXX-004
1299,LEO - CAJA ARRANCADORA B/SUMG 0.5HP,con_depto_sin_categoria (Bombas de motor Electrico),placeholder XX -> BMXX-001
1341,LEO- SISTEMA PRESION CONSTANTE 350W 220V,con_depto_sin_categoria (Bombas de motor Electrico),placeholder XX -> BMXX-002
1342,LEO- SISTEMA PRESION CONSTANTE 450W 220,con_depto_sin_categoria (Bombas de motor Electrico),placeholder XX -> BMXX-003
1390,LIJADORA BD SS1000-B3,con_depto_sin_categoria (Herramientas Electricas),placeholder XX -> HEXX-003
1391,LIJADORA DW D28111SK,con_depto_sin_categoria (Herramientas Electricas),placeholder XX -> HEXX-004
1392,LIMPIADOR DE CARBURADOR 450ML COVO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-057
1394,LIMPIADOR DE MOTOR,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-058
1395,LIMPIADOR MULTIPROPÓSITO 40Z GRIVEN,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-059
1396,"LIMPOTEX 1,43 LTS",con_depto_sin_categoria (Linea Construccion),placeholder XX -> LCXX-002
1434,LLAVE P/MANDRIL WOLFGGANG,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-060
1439,LLAVERO DESTORCEDOR UYUSTOOL,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-061
1440,LLAVES MECANICAS X 6PZAS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-062
1446,"LOB-PRENSA MINI BASE GIRATORIA 3""",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-063
1447,LOB-PRENSA MINI BASE GIRATORIA 4,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-064
1452,LUBRICANTE AFLOJATODO 210ML COVO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-065
1521,MANILLAS REPUESTO BLUE,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-066
1533,MAQUINA SELLADORA 20CM*2MM 110 300W,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-067
1541,MASCARILLA DE GASES ACIDOS 2 CARTUCHOS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-068
1542,MATADOR VERDE 200G,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-069
1543,MAZO DE GOMA 450G 160Z TOTAL,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-070
1571,MECHA SET ESCALONADAS 32MM COOFIX,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-071
1572,MEDIDOR DE PRESION DE AIRE 0-100 PSI,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-072
1576,MOLINO DE GRANOS CENTURY,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-073
1578,MOTOBOMBA KOSHIN - HONDA 3*3,con_depto_sin_categoria (Bombas motor Gasolina o Gasoi),placeholder XX -> BOXX-001
1581,MOTORES AGROS 14HP GASOLINA,con_depto_sin_categoria (Bombas motor Gasolina o Gasoi),placeholder XX -> BOXX-002
1582,MOTORES ELECTRICOS,con_depto_sin_categoria (Tanques plasticos),placeholder XX -> TPXX-001
1584,"NAVAJA PICO LORO 8"" EXXEL",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-074
1748,"PARRILLERA 13.5""",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-075
1749,"PARRILLERA 2""",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-076
1750,"PARRILLERA 20""",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-077
1751,"PASADOR 2 1/2"" DORADO",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-078
1754,"PASADOR CULATA 3"" DIESEL TOOL",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-079
1758,"PASADOR PORTA CANDADO D/ZINCADO 4""",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-080
1759,PAÑO DE MICROFIBRA PAQ 5 (LF),con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-081
1788,PEINE DE SALPICADORA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-082
1802,PICO/ GRIFO PARA TERMO GRANDE (DECORAR),con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-008
1815,PIEDRA DE AMOLAR,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-083
1816,PIEDRA PARA FILTRO D CERAMICA GRIMAX C/C,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-084
1833,PISTOLA DE CALOR INGCO 1600W,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-085
1834,PISTOLA DE ESTAÑO WADFOW 60W,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-086
1836,PISTOLA DE SILICON ROJA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-087
1851,PISTOLA SILICON EXXEL DELGAD 15W,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-088
1852,PISTOLA SILICON PROFESIONAL D/*CDARTUCHO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-089
1854,PISTOLA. DE ENGRASAR COMET,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-090
1857,PLASTICO TRANSPARENTE 3*1 P/MTS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-091
1861,PONCHERA 50LTS C/ASA ASA MARRON,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-092
1863,PONCHERA PLAST C/ASAS VERDE 25LTS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-093
1864,PORTA CHAMPU ESQUINERO BLANCO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-094
1865,PORTA DE CILINDRO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-095
1870,PORTA ROLLO JOMAI PARA PAPEL S,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-096
1872,"PRENSA DE BANCO 4""1300KG TOTAL",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-097
1890,PUERTA BLANCA SD00R003 IZQUIERDA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-098
1896,PULIDORA ELECTRICA 180MM COOFIX 110,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-099
2009,RAMPLUN 3/8 NARAN PAQ,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-100
2120,RC-TAPA TOPE D/COCINA CON PLANCHA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-005
2125,RCG-BOBINA D/CORTAGRAMA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-006
2126,RCG-CUCHILLA 22 P/CORTAGRAMA UNIVERSAL,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-007
2127,RCG-FILTRO D/CORTAGRAMA GRANDE,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-008
2128,RCG-KIT CUCHILLA D/CORTAGRAMA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-009
2129,RCG-PISTON P/CORTAGRAMA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-010
2130,RCP-BIELA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-011
2131,RCP-RODAMIENTO 6203,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-012
2137,RD-ARRANCADOR P/DESMALEZADORA UNIVER,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-013
2143,RD-BUJIAS DESMALEZADORA COVO,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-014
2168,RD-FILTRO D/AIRE P/DESMALEZADORA C/TAPA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-015
2175,RD-MAGNETO DESMALEZADORA 52/43CC,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-016
2186,RD-RESORTE P/DESMALEZADORA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-017
2191,RD-TAPA.TRASERA DEL MOTOR DESMALEZADORA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-018
2207,"REGATONES 1"" PLASTICO",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-101
2208,REGULADOR AIRE LINCE PRO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-102
2214,REGULADOR DE FILTRO DE AIRE 14 15CC WODF,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-103
2305,RESISTENCIA P/ COCINA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-104
2308,RESPUESTO PARA EXACTO 19X60MM 10PZA,con_depto_sin_categoria (Tanques plasticos),placeholder XX -> TPXX-002
2309,RIDGID-MAQUINA LIMPIEZA DRENAJE K-45,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-105
2310,RIDGID-MAQUINA LIMPIEZA DRENAJE K-50,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-106
2347,RLI ASPA METAL MOTOR OSTER,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-019
2348,RLI CARBON C/ALAMBRE PAR OSTER,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-020
2349,RLI- CUCHILLA GENERICA 4 ALETAS OSTER,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-021
2350,RLI- CUCHILLA GENERICA 6 ALETAS OSTER,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-022
2351,RLI-ACOPLE GRANDE,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-023
2352,RLI-ACOPLE PEQUEÑO,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-024
2353,RLI-BASE LICUADORA C/CUCHILLA ROJA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-025
2354,RLI-BASE P/LICUADORA BLANCA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-026
2355,RLI-BASE P/LICUADORA NEGRA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-027
2356,RLI-CUADRANTE DE LICUADORA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-028
2358,RLI-CUCHILLA D/LICUADORA OSTER ORIGINAL,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-029
2360,RLI-KIT ACOPLE OSTER,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-030
2361,RLI-TAPA ANTIDERRAME LICUAD NEGRA GRANDE,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-031
2362,RLI-TAPA ANTIDERRAME LICUAD NEGRA PEQUEÑ,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-032
2363,RLI-TAPA ANTIDERRAME LICUADORA BLANCA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-033
2366,RLI-TAPA MOTOR DE LICUADORA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-034
2368,RLI-VASO LICUADORA OSTER ECONOMICA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-035
2382,RMZ-BOBINA MOTOSIERRA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-036
2383,RMZ-CADENA DE MOTOSIERRA GALGA,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-037
2385,RMZ-ESPADA DE MOTOSIERRA 52CC,con_depto_sin_categoria (Repuestos en General),placeholder XX -> RGXX-038
2387,ROCIADOR 1000ML .,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-107
2388,RODAPIE TEXTURIZADO 2MT*8CM VERT,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-108
2389,RODEL FINO P/CORTADORA CERAMICA,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-109
2390,"ROLDANA FIJA 1"" HASTA 60KG",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-110
2391,ROLDANA MOVIL 1.1/2 HASTA 67KG,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-111
2393,ROMANILLA P/VENTANA,con_depto_sin_categoria (Linea Construccion),placeholder XX -> LCXX-003
2394,ROMPEDOR CADENA D/BANCO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-112
2458,RYOVI-TROMPO ENRUTADOR 8.5AMP,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-113
2462,"SAPITO FLAPPER GRIVEN 2""",con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-114
2463,SAPITO FLAPPER WC MODELO VIEJO,con_depto_sin_categoria (Linea Plomeria),placeholder XX -> LPXX-009
2467,SELLADOR P PARABRISA POLIURET NEGRO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-115
2480,SEPARADORES DE CERAMICA 5MM 100PZA COVO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-116
2484,SET DE HERRAMIENTAS P JARDIN 4 PIEZ,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-117
2496,SEÑORITA CADENA 2T TUCSON TOOLS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-118
2497,SEÑORITA CADENA 3T TUCSON TOOLS,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-119
2504,SIERRA CILINDRICA DIAMANTADA 32MM COVO,con_depto_sin_categoria (Ferretería General),placeholder XX -> FGXX-120
